id,project_slug,table_name,question,sql,answer_template,created_at
427,proj_demo_citypharma,citypharma_balance_stock,Which article code has the highest weighted cost price?,"SELECT article_code, weighted_cost_price FROM citypharma_balance_stock ORDER BY weighted_cost_price DESC LIMIT 1","",2026-05-26 15:31:22.775255
428,proj_demo_citypharma,citypharma_balance_stock,How many articles are considered low stock (less than 10 units) versus high stock (10 or more units)?,"SELECT CASE WHEN stock_qty < 10 THEN 'Low Stock' ELSE 'High Stock' END AS stock_category, COUNT(*) FROM citypharma_balance_stock GROUP BY 1","",2026-05-26 15:31:22.775255
429,proj_demo_citypharma,citypharma_balance_stock,What is the average stock quantity grouped by the creation date?,"SELECT DATE(created_at) as date, AVG(stock_qty) FROM citypharma_balance_stock GROUP BY 1","",2026-05-26 15:31:22.775255
430,proj_demo_citypharma,citypharma_balance_stock,Which articles contribute to the top 80% of the total inventory value?,"SELECT article_code, running_total FROM (SELECT article_code, SUM(stock_qty * weighted_cost_price) OVER (ORDER BY (stock_qty * weighted_cost_price) DESC) as running_total, SUM(stock_qty * weighted_cost_price) OVER () as total_val FROM citypharma_balance_stock) t WHERE running_total <= 0.8 * total_val","",2026-05-26 15:31:22.775255
431,proj_demo_citypharma,citypharma_balance_stock,"Which articles have a weighted cost price significantly higher than the average, indicating a potential data entry anomaly?","SELECT article_code, weighted_cost_price FROM citypharma_balance_stock WHERE weighted_cost_price > (SELECT AVG(weighted_cost_price) + 2 * STDDEV(weighted_cost_price) FROM citypharma_balance_stock)","",2026-05-26 15:31:22.775255
432,proj_demo_citypharma,citypharma_balance_stock,Which articles have low stock (less than 5) and should be prioritized for reordering?,"SELECT article_code, stock_qty FROM citypharma_balance_stock WHERE stock_qty < 5 ORDER BY stock_qty ASC","",2026-05-26 15:31:22.775255
433,proj_demo_citypharma,citypharma_balance_stock,What would be the total inventory valuation if the weighted cost price of all articles increased by 10%?,SELECT SUM(stock_qty * (weighted_cost_price * 1.10)) FROM citypharma_balance_stock,"",2026-05-26 15:31:22.775255
434,proj_demo_citypharma,citypharma_balance_stock,List articles where the weighted cost price is higher than the overall average weighted cost price.,"SELECT article_code, weighted_cost_price, AVG(weighted_cost_price) OVER () as avg_price FROM citypharma_balance_stock WHERE weighted_cost_price > (SELECT AVG(weighted_cost_price) FROM citypharma_balance_stock)","",2026-05-26 15:31:22.775255
435,proj_demo_citypharma,citypharma_balance_stock,What is the distribution of stock quantities across different cost price brackets?,"SELECT CASE WHEN weighted_cost_price < 10000 THEN 'Low Cost' WHEN weighted_cost_price < 50000 THEN 'Medium Cost' ELSE 'High Cost' END as price_bracket, COUNT(*) as article_count, SUM(stock_qty) as total_qty FROM citypharma_balance_stock GROUP BY 1","",2026-05-26 15:31:22.775255
436,proj_demo_citypharma,citypharma_balance_stock,"Based on current stock levels, what is the projected total stock quantity if we assume a linear growth trend based on the average stock per article?",SELECT COUNT(*) * AVG(stock_qty) as projected_total_stock FROM citypharma_balance_stock,"",2026-05-26 15:31:22.775255
